Combination,RCE,Unavailability,Best Redundancy,Best Combination,Before Redundancy RCE
"[[1, 2], [3], [4], [5, 6], [7], [8, 9]]",0.016540266000931104,0.002885012280143595,"(2, 3, 2, 2, 2, 2, 2)","[[1], [2, 3], [4], [5], [6, 7], [8], [9]]",0.016618783185435925
"[[1, 2], [3], [4], [5, 6], [7, 8], [9]]",0.016540266000931156,0.002885012280143595,"(3, 2, 2, 2, 2, 2, 2)","[[1, 2], [3], [4], [5], [6, 7], [8], [9]]",0.016618783185435925
"[[1, 2], [3], [4], [5, 6, 7], [8], [9]]",0.017012819539208347,0.002885012280143706,"(2, 2, 2, 2, 2, 2, 3)","[[1], [2], [3], [4], [5], [6, 7], [8, 9]]",0.016618783185435918
"[[1, 2], [3], [4, 5], [6], [7], [8, 9]]",0.01654026600093111,0.002885012280143706,"(2, 3, 2, 2, 2, 2, 2)","[[1, 2], [3, 4], [5], [6], [7], [8], [9]]",0.016618783185435918
"[[1, 2], [3], [4, 5], [6], [7, 8], [9]]",0.016540266000931163,0.002885012280143595,"(2, 3, 2, 2, 2, 2, 2)","[[1], [2, 3], [4, 5], [6], [7], [8], [9]]",0.016618783185435894
"[[1, 2], [3], [4, 5], [6, 7], [8], [9]]",0.01654026600093109,0.002885012280143595,"(3, 2, 2, 2, 2, 2, 2)","[[1, 2], [3], [4, 5], [6], [7], [8], [9]]",0.016618783185435894
"[[1, 2], [3], [4, 5, 6], [7], [8], [9]]",0.01701281953920834,0.002885012280143706,"(2, 2, 2, 3, 2, 2, 2)","[[1], [2], [3, 4], [5, 6], [7], [8], [9]]",0.016618783185435887
"[[1, 2], [3, 4], [5], [6], [7], [8, 9]]",0.01654026600093114,0.002885012280143595,"(2, 3, 2, 2, 2, 2, 2)","[[1], [2, 3], [4], [5, 6], [7], [8], [9]]",0.016618783185435877
"[[1, 2], [3, 4], [5], [6], [7, 8], [9]]",0.016540266000931194,0.002885012280143595,"(3, 2, 2, 2, 2, 2, 2)","[[1, 2], [3], [4], [5, 6], [7], [8], [9]]",0.016618783185435877
"[[1, 2], [3, 4], [5], [6, 7], [8], [9]]",0.016540266000931125,0.002885012280143706,"(2, 2, 2, 2, 2, 3, 2)","[[1], [2], [3], [4], [5, 6], [7, 8], [9]]",0.016618783185435842
"[[1, 2], [3, 4], [5, 6], [7], [8], [9]]",0.016540266000931125,0.002885012280143706,"(2, 2, 2, 2, 2, 3, 2)","[[1], [2], [3], [4, 5], [6], [7, 8], [9]]",0.016618783185435842
"[[1, 2], [3, 4, 5], [6], [7], [8], [9]]",0.01701281953920833,0.002885012280143706,"(2, 2, 3, 2, 2, 2, 2)","[[1], [2], [3, 4], [5], [6], [7, 8], [9]]",0.016618783185435842
"[[1, 2, 3], [4], [5], [6], [7], [8, 9]]",0.01701281953920836,0.002885012280143595,"(2, 3, 2, 2, 2, 2, 2)","[[1], [2, 3], [4], [5], [6], [7, 8], [9]]",0.01661878318543583
"[[1, 2, 3], [4], [5], [6], [7, 8], [9]]",0.017012819539208402,0.002885012280143595,"(3, 2, 2, 2, 2, 2, 2)","[[1, 2], [3], [4], [5], [6], [7, 8], [9]]",0.01661878318543583
"[[1, 2, 3], [4], [5], [6, 7], [8], [9]]",0.01701281953920834,0.002885012280143595,"(2, 2, 2, 2, 2, 2, 3)","[[1], [2], [3], [4], [5, 6], [7], [8, 9]]",0.016618783185435828
"[[1, 2, 3], [4], [5, 6], [7], [8], [9]]",0.01701281953920834,0.002885012280143595,"(2, 2, 2, 2, 2, 2, 3)","[[1], [2], [3], [4, 5], [6], [7], [8, 9]]",0.016618783185435828
"[[1, 2, 3], [4, 5], [6], [7], [8], [9]]",0.01701281953920833,0.002885012280143595,"(2, 2, 3, 2, 2, 2, 2)","[[1], [2], [3, 4], [5], [6], [7], [8, 9]]",0.016618783185435828
"[[1, 2, 3, 4], [5], [6], [7], [8], [9]]",0.01769292548172528,0.002885012280143484,"(2, 3, 2, 2, 2, 2, 2)","[[1], [2, 3], [4], [5], [6], [7], [8, 9]]",0.016618783185435818
"[[1], [2], [3], [4], [5], [6], [7, 8, 9]]",0.017019778616488308,0.002885012280143484,"(3, 2, 2, 2, 2, 2, 2)","[[1, 2], [3], [4], [5], [6], [7], [8, 9]]",0.016618783185435818
"[[1], [2], [3], [4], [5], [6, 7], [8, 9]]",0.016618783185435918,0.003558449552501508,"(2, 2, 2, 2, 2, 2, 2, 2, 2)","[[1], [2], [3], [4], [5], [6], [7], [8], [9]]",0.01660682385285671
"[[1], [2], [3], [4], [5], [6, 7, 8], [9]]",0.017019778616488315,0.002975109372765905,"(2, 2, 2, 2, 3, 2)","[[1, 2], [3, 4], [5], [6], [7, 8], [9]]",0.016540266000931194
"[[1], [2], [3], [4], [5, 6], [7], [8, 9]]",0.016618783185435828,0.002975109372765905,"(2, 2, 2, 2, 3, 2)","[[1], [2], [3, 4], [5, 6], [7, 8], [9]]",0.016540266000931166
"[[1], [2], [3], [4], [5, 6], [7, 8], [9]]",0.016618783185435842,0.002975109372765905,"(2, 2, 2, 2, 3, 2)","[[1], [2, 3], [4, 5], [6], [7, 8], [9]]",0.016540266000931163
"[[1], [2], [3], [4], [5, 6, 7], [8], [9]]",0.017019778616488315,0.002975109372765905,"(2, 2, 2, 2, 3, 2)","[[1, 2], [3], [4, 5], [6], [7, 8], [9]]",0.016540266000931163
"[[1], [2], [3], [4, 5], [6], [7], [8, 9]]",0.016618783185435828,0.002975109372765905,"(2, 2, 2, 2, 3, 2)","[[1], [2, 3], [4], [5, 6], [7, 8], [9]]",0.016540266000931156
"[[1], [2], [3], [4, 5], [6], [7, 8], [9]]",0.016618783185435842,0.002975109372765905,"(2, 2, 2, 2, 3, 2)","[[1, 2], [3], [4], [5, 6], [7, 8], [9]]",0.016540266000931156
"[[1], [2], [3], [4, 5], [6, 7], [8], [9]]",0.016618783185435936,0.002975109372765905,"(2, 2, 2, 2, 2, 3)","[[1], [2], [3], [4, 5], [6, 7], [8, 9]]",0.016540266000931152
"[[1], [2], [3], [4, 5, 6], [7], [8], [9]]",0.0170197786164883,0.002975109372766016,"(2, 2, 2, 2, 2, 3)","[[1], [2], [3, 4], [5], [6, 7], [8, 9]]",0.016540266000931152
"[[1], [2], [3, 4], [5], [6], [7], [8, 9]]",0.016618783185435828,0.002975109372765905,"(2, 3, 2, 2, 2, 2)","[[1], [2, 3], [4], [5], [6, 7], [8, 9]]",0.016540266000931142
"[[1], [2], [3, 4], [5], [6], [7, 8], [9]]",0.016618783185435842,0.002975109372765905,"(3, 2, 2, 2, 2, 2)","[[1, 2], [3], [4], [5], [6, 7], [8, 9]]",0.016540266000931142
"[[1], [2], [3, 4], [5], [6, 7], [8], [9]]",0.016618783185435936,0.002975109372765905,"(2, 2, 2, 2, 2, 3)","[[1, 2], [3, 4], [5], [6], [7], [8, 9]]",0.01654026600093114
"[[1], [2], [3, 4], [5, 6], [7], [8], [9]]",0.016618783185435887,0.002975109372765905,"(2, 2, 2, 3, 2, 2)","[[1, 2], [3, 4], [5], [6, 7], [8], [9]]",0.016540266000931125
"[[1], [2], [3, 4, 5], [6], [7], [8], [9]]",0.0170197786164883,0.002975109372765905,"(2, 2, 3, 2, 2, 2)","[[1, 2], [3, 4], [5, 6], [7], [8], [9]]",0.016540266000931125
"[[1], [2, 3], [4], [5], [6], [7], [8, 9]]",0.016618783185435818,0.002975109372765905,"(2, 2, 2, 2, 2, 3)","[[1], [2], [3, 4], [5, 6], [7], [8, 9]]",0.016540266000931114
"[[1], [2, 3], [4], [5], [6], [7, 8], [9]]",0.01661878318543583,0.002975109372765905,"(2, 2, 2, 2, 2, 3)","[[1], [2, 3], [4, 5], [6], [7], [8, 9]]",0.01654026600093111
